Serving HTTP on 127.0.0.1 port 8520 (http://127.0.0.1:8520/) ...
127.0.0.1 - - [21/Aug/2026 17:05:30] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:55] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:55] "GET /js/vendor/post/ShaderPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:56] "GET /js/vendor/post/RenderPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:56] "GET /js/vendor/post/EffectComposer.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:56] "GET /js/vendor/gltf/GLTFLoader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:56] "GET /js/vendor/three.min.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:56] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:56] "GET /js/vendor/post/UnrealBloomPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:56] "GET /js/vendor/shaders/CopyShader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:56] "GET /js/textures.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:57] "GET /js/vendor/shaders/LuminosityHighPassShader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:57] "GET /js/core.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:57] "GET /js/audio.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:57] "GET /js/characters.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:57] "GET /js/world.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:57] "GET /js/ai.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:57] "GET /js/lore.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:57] "GET /js/ui.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:58] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:58] "GET /assets/characters/orv.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:58] "GET /assets/characters/rivets.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:58] "GET /assets/characters/sera.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:05:58] "GET /assets/characters/bolt.glb HTTP/1.1" 200 -
